pheno	db	chromosome	block	CS.EUR	CS.AFR	CS.EAS	size	SNP
LDL	UKBB	6	134	CS:EUR-6-134-L1		CS:EAS-6-134-L1	13	rs9399136,rs9376090,rs7776054,rs9399137,rs9389268,rs9376091,rs9402685,rs34164109,rs9373124,rs35959442,rs4895441,rs9402686,rs7758845
LDL	UKBB	6	169	CS:EUR-6-169-L3	CS:AFR-6-169-L3		2	rs7770628,rs4708876
LDL	UKBB	6	169	CS:EUR-6-169-L6	CS:AFR-6-169-L6		1	rs600324
LDL	UKBB	6	169	CS:EUR-6-169-L7	CS:AFR-6-169-L7	CS:EAS-6-169-L7	4	rs2504927,rs2457574,rs2076828,rs2457564
LDL	UKBB	6	169	CS:EUR-6-169-L9	CS:AFR-6-169-L9		1	rs8191693
LDL	UKBB	6	169	CS:EUR-6-169-L10		CS:EAS-6-169-L10	2	rs707771,rs622342
LDL	UKBB	7	37	CS:EUR-7-37-L1		CS:EAS-7-37-L1	3	rs7786322,rs7787020,rs73066442
LDL	UKBB	7	37	CS:EUR-7-37-L2		CS:EAS-7-37-L2	4	rs56099083,rs10239423,rs2282895,rs10276352
LDL	UKBB	7	42	CS:EUR-7-42-L1		CS:EAS-7-42-L1	1	rs4722551
LDL	UKBB	7	58	CS:EUR-7-58-L1	CS:AFR-7-58-L1		2	rs34578041,rs10951461
LDL	UKBB	7	88	CS:EUR-7-88-L1		CS:EAS-7-88-L1	32	rs2302429,rs112463197,rs112680895,rs2302434,rs59882870,rs113570449,rs79864016,rs112962015,rs61303167,rs2286829,rs112525432,rs867973,rs10216079,rs10232162,rs78811105,rs111764601,rs4732565,rs112372188,rs10279717,rs113651457,rs11971800,rs111468708,rs111714534,rs60133852,rs56090527,rs10265696,rs73138006,rs10253077,rs56163935,rs9801125,rs112742093,rs10239209
LDL	UKBB	9	4		CS:AFR-9-4-L2	CS:EAS-9-4-L2	2	rs12342643,rs3780181
LDL	UKBB	9	36	CS:EUR-9-36-L1		CS:EAS-9-36-L1	26	rs72698368,rs72698371,rs16937397,rs34853858,rs67295891,rs56247806,rs12553328,rs12554969,rs12551960,rs34334332,rs16937435,rs34150222,rs72700413,rs34023524,rs10114039,rs6475323,rs10121945,rs13300861,rs35548281,rs36178701,rs67579311,rs10117525,rs1961992,rs67906804,rs13298226,rs34908301
LDL	UKBB	9	110	CS:EUR-9-110-L1	CS:AFR-9-110-L1		1	rs4149307
LDL	UKBB	9	140	CS:EUR-9-140-L1	CS:AFR-9-140-L1		1	rs73620883
LDL	UKBB	10	60	CS:EUR-10-60-L1		CS:EAS-10-60-L1	15	rs11008696,rs3847414,rs113450267,rs10827001,rs1251407,rs11008701,rs1616121,rs1615256,rs2210059,rs10827003,rs1775741,rs1775714,rs1251355,rs881052,rs806808
LDL	UKBB	11	30	CS:EUR-11-30-L2		CS:EAS-11-30-L2	3	rs1519125,rs11023881,rs2351958
LDL	UKBB	11	129	CS:EUR-11-129-L1		CS:EAS-11-129-L1	1	rs964184
LDL	UKBB	11	129	CS:EUR-11-129-L2		CS:EAS-11-129-L2	2	rs75542613,rs2239013
LDL	UKBB	12	63	CS:EUR-12-63-L1		CS:EAS-12-63-L1	2	rs2160994,rs9669354
LDL	UKBB	12	121	CS:EUR-12-121-L1	CS:AFR-12-121-L1		5	rs7972069,rs10850137,rs10774696,rs10774697,rs10850141
LDL	UKBB	12	138	CS:EUR-12-138-L1		CS:EAS-12-138-L1	6	rs1169288,rs1169284,rs11065385,rs2243458,rs1169292,rs1169294
LDL	UKBB	13	25	CS:EUR-13-25-L1	CS:AFR-13-25-L1		5	rs9534318,rs7328654,rs4942505,rs7327867,rs1012129
LDL	UKBB	13	116	CS:EUR-13-116-L1	CS:AFR-13-116-L1		5	rs537532,rs677877,rs2166207,rs532625,rs1143914
LDL	UKBB	14	68	CS:EUR-14-68-L2		CS:EAS-14-68-L2	21	rs12890763,rs2332277,rs12892636,rs34612588,rs8016418,rs34767236,rs12590808,rs34511042,rs17475516,rs11158858,rs8019852,rs12884918,rs34273029,rs11628785,rs3764183,rs17476399,rs17567627,rs7493545,rs11624424,rs6573971,rs4899359
LDL	UKBB	15	50	CS:EUR-15-50-L1	CS:AFR-15-50-L1		3	rs72747142,rs138751626,rs72733906
LDL	UKBB	16	43	CS:EUR-16-43-L1	CS:AFR-16-43-L1		5	rs7186298,rs9937801,rs66487676,rs9935770,rs11865952
LDL	UKBB	16	75	CS:EUR-16-75-L1	CS:AFR-16-75-L1		2	rs247617,rs3764261
LDL	UKBB	16	89	CS:EUR-16-89-L5	CS:AFR-16-89-L5		2	rs2878404,rs1465457
LDL	UKBB	16	94	CS:EUR-16-94-L1	CS:AFR-16-94-L1		5	rs10163339,rs17624987,rs7196182,rs4372704,rs3861261
LDL	UKBB	17	22	CS:EUR-17-22-L1		CS:EAS-17-22-L1	13	rs4796347,rs7207302,rs7208706,rs4796548,rs60220499,rs1567346,rs8073969,rs11078646,rs7222019,rs17804432,rs7213948,rs1983179,rs1983181
LDL	UKBB	17	23	CS:EUR-17-23-L2	CS:AFR-17-23-L2		3	rs72837690,rs314256,rs314253
LDL	UKBB	17	24	CS:EUR-17-24-L1		CS:EAS-17-24-L1	4	rs3809719,rs28567456,rs11653545,rs11078701
LDL	UKBB	17	24	CS:EUR-17-24-L2	CS:AFR-17-24-L2		1	rs1050541
LDL	UKBB	17	55	CS:EUR-17-55-L2	CS:AFR-17-55-L2		1	rs704
LDL	UKBB	17	75	CS:EUR-17-75-L1	CS:AFR-17-75-L1		11	rs7350906,rs7222851,rs12603290,rs8072100,rs12150231,rs8065437,rs11650372,rs11870935,rs4264433,rs4580230,rs4794048
LDL	UKBB	17	102	CS:EUR-17-102-L1	CS:AFR-17-102-L1		1	rs1468512
LDL	UKBB	17	103	CS:EUR-17-103-L1	CS:AFR-17-103-L1		1	rs72861370
LDL	UKBB	17	125	CS:EUR-17-125-L1		CS:EAS-17-125-L1	10	rs4490057,rs938348,rs4366775,rs11657860,rs11657987,rs4969141,rs17561950,rs4969142,rs2376583,rs4129767
LDL	UKBB	19	37	CS:EUR-19-37-L4	CS:AFR-19-37-L4		6	rs7275,rs11668364,rs11673439,rs12609502,rs876794,rs11879026
LDL	UKBB	19	37	CS:EUR-19-37-L12	CS:AFR-19-37-L12		3	rs77287598,rs75957461,rs73502604
LDL	UKBB	19	38	CS:EUR-19-38-L2		CS:EAS-19-38-L2	1	rs8111456
LDL	UKBB	19	38	CS:EUR-19-38-L3	CS:AFR-19-38-L3		1	rs34757881
LDL	UKBB	19	38	CS:EUR-19-38-L6		CS:EAS-19-38-L6	5	rs17001244,rs10406522,rs12979813,rs10421795,rs10421382
LDL	UKBB	19	38	CS:EUR-19-38-L7	CS:AFR-19-38-L7		4	rs4804576,rs8101801,rs66466742,rs56322906
LDL	UKBB	19	46	CS:EUR-19-46-L1	CS:AFR-19-46-L1		3	rs3848642,rs660247,rs4808362
LDL	UKBB	19	51	CS:EUR-19-51-L1		CS:EAS-19-51-L1	5	rs11666265,rs2302209,rs4808765,rs11666033,rs62120394
LDL	UKBB	19	70	CS:EUR-19-70-L1		CS:EAS-19-70-L1	2	rs10418990,rs4802101
LDL	UKBB	19	70	CS:EUR-19-70-L2		CS:EAS-19-70-L2	5	rs6508964,rs4803417,rs1987236,rs7260538,rs2279344
LDL	UKBB	19	73	CS:EUR-19-73-L1	CS:AFR-19-73-L1		6	rs3213356,rs3213329,rs3213282,rs3213276,rs3213255,rs3213245
LDL	UKBB	19	74	CS:EUR-19-74-L5		CS:EAS-19-74-L5	3	rs58967105,rs3760624,rs28411142
LDL	UKBB	19	74	CS:EUR-19-74-L7	CS:AFR-19-74-L7		1	rs2965159
LDL	UKBB	19	74	CS:EUR-19-74-L8	CS:AFR-19-74-L8		2	rs74702215,rs2020083
LDL	UKBB	19	74	CS:EUR-19-74-L10	CS:AFR-19-74-L10		1	rs2015257
LDL	UKBB	19	74	CS:EUR-19-74-L11	CS:AFR-19-74-L11		1	rs2965163
LDL	UKBB	19	75	CS:EUR-19-75-L1	CS:AFR-19-75-L1	CS:EAS-19-75-L1	1	rs429358
LDL	UKBB	19	75	CS:EUR-19-75-L3	CS:AFR-19-75-L3	CS:EAS-19-75-L3	1	rs3745150
LDL	UKBB	19	75	CS:EUR-19-75-L4		CS:EAS-19-75-L4	3	rs369599,rs370705,rs419925
LDL	UKBB	19	75	CS:EUR-19-75-L6		CS:EAS-19-75-L6	1	rs8104483
LDL	UKBB	19	75	CS:EUR-19-75-L7	CS:AFR-19-75-L7	CS:EAS-19-75-L7	1	rs405697
LDL	UKBB	19	75	CS:EUR-19-75-L10		CS:EAS-19-75-L10	1	rs11667640
LDL	UKBB	19	76	CS:EUR-19-76-L1		CS:EAS-19-76-L1	2	rs572634,rs8100208
LDL	UKBB	19	76	CS:EUR-19-76-L2	CS:AFR-19-76-L2		2	rs11666681,rs7251736
LDL	UKBB	19	76	CS:EUR-19-76-L5	CS:AFR-19-76-L5		5	rs10427048,rs10401638,rs8103155,rs6509183,rs7245545
LDL	UKBB	19	76	CS:EUR-19-76-L7		CS:EAS-19-76-L7	1	rs12984180
LDL	UKBB	19	76	CS:EUR-19-76-L8	CS:AFR-19-76-L8		1	rs11665731
LDL	UKBB	19	76	CS:EUR-19-76-L11		CS:EAS-19-76-L11	7	rs10419086,rs10420434,rs204912,rs204914,rs204483,rs204469,rs10423934
LDL	UKBB	20	68	CS:EUR-20-68-L1	CS:AFR-20-68-L1		3	rs11700304,rs761919,rs4812774
LDL	UKBB	20	69	CS:EUR-20-69-L1		CS:EAS-20-69-L1	1	rs1800961
